PI_number,Height
PI563330,0.54282542695918
PI563330,0.509202522331103
PI563330,0.591064607026499
PI156268,0.33645973384853
PI156268,0.290034611362518
PI563329,0.557507201905658
PI563329,0.591064607026499
PI563329,0.503790683057181
PI569446,0.235528446907549
PI569446,0.361727836017593
PI569446,0.287801729930226
PI329614,0.466867620354109
PI329614,0.513217600067939
PI329614,0.526339277389844
PI330181,0.320146286111054
PI330181,0.645422269349092
PI330181,0.404833716619938
PI569148,0.633468455579587
PI569148,0.348304863048161
PI569148,0.469822015978163
PI329256,0.401400540781544
PI329256,0.439332693830263
PI329256,0.3654879848909
PI593916,-0.0132282657337552
PI593916,-0.0457574905606751
PI593916,-0.00877392430750515
PI181899,0.243038048686294
PI181899,0.243038048686294
PI181899,0.190331698170292
PI330182,0.574031267727719
PI330182,0.518513939877887
PI330182,0.499687082618404
PI576401,0.100370545117563
PI576401,0.164352855784437
PI576401,0.110589710299249
PI455217,0.434568904034199
PI455217,0.514547752660286
PI455217,0.460897842756548
PI563332,0.278753600952829
PI563332,0.518513939877887
PI563332,0.507855871695831
PI52606,0.139879086401236
PI52606,0.164352855784437
PI52606,0.257678574869185
PI655978,0
PI655978,0.00860017176191757
PI655978,0.0374264979406237
PI155149,0.466867620354109
PI155149,0.570542939881898
PI155149,0.558708570533166
PI535792,0.0293837776852097
PI535792,-0.00436480540245009
PI535792,0
PI535793,0.127104798364808
PI535793,0.130333768495006
PI535793,0.204119982655925
PI181080,0.40823996531185
PI181080,0.439332693830263
PI181080,0.471291711058939
PI152963,0.534026106056135
PI152963,0.434568904034199
PI152963,0.356025857193123
PI641807,0.311753861055754
PI641807,0.334453751150931
PI641807,0.287801729930226
PI533902,0.00860017176191757
PI533902,0.00860017176191757
PI533902,0.0492180226701817
PI656065,0.227886704613674
PI656065,0.227886704613674
PI656065,0.220108088040055
PI329519,0.440909082065218
PI329519,0.484299839346786
PI329519,0.518513939877887
PI452544,0.103803720955957
PI452544,0.105510184769974
PI452544,0.0413926851582251
PI329843,0.47567118832443
PI329843,0.534026106056135
PI197542,-0.0604807473813815
PI197542,-0.0861861476162833
PI197542,-0.10790539730952
PI569148,0.217483944213906
PI569148,0.502427119984433
PI569148,0.401400540781544
PI330181,0.0211892990699381
PI330181,-0.0604807473813815
PI330181,-0.0604807473813815
PI213900,0.47567118832443
PI213900,0.556302500767287
PI213900,0.474216264076255
PI656015,-0.244125144327509
PI656015,-0.292429823902064
PI656015,-0.214670164989233
PI92270,-0.0409586076789064
PI92270,-0.211124884224583
PI92270,0.0293837776852097
PI253986,0.260071387985075
PI253986,0.187520720836463
PI226096,-0.193820026016113
PI226096,0.103803720955957
PI226096,0.0827853703164501
PI569097,0.130333768495006
PI569097,0.100370545117563
PI569097,0.155336037465062
PI527045,-0.292429823902064
PI527045,-0.247951552180562
PI527045,-0.275724130399211
PI329569,0.59659709562646
PI329569,0.645422269349092
PI329256,0.401400540781544
PI157804,0.340444114840118
PI157804,0.184691430817599
PI157804,0.356025857193123
PI534165,-0.1249387366083
PI534165,-0.142667503568732
PI534165,-0.0705810742857073
PI300119,0.403120521175818
PI300119,0.378397900948138
PI300119,0.404833716619938
PI181083,0.378397900948138
PI181083,0.348304863048161
PI181083,0.24551266781415
PI550604,0.187520720836463
PI550604,0.204119982655925
PI550604,-0.0132282657337552
PI329710,0.593286067020457
PI329710,0.679427896612119
PI329710,0.618048096712093
PI561840,-0.00436480540245009
PI561840,0.110589710299249
PI561840,-0.00877392430750515
PI452692,0.628388930050312
PI452692,0.664641975556126
PI452692,0.507855871695831
PI330185,0.661812685537261
PI330185,0.69810054562339
PI330185,0.591064607026499
PI251672,0.320146286111054
PI251672,0.357934847000454
PI251672,0.413299764081252
PI540518,0.176091259055681
PI540518,0.190331698170292
PI540518,0.252853030979893
PI533998,-0.0457574905606751
PI533998,-0.0457574905606751
PI533998,-0.0132282657337552
PI156268,0.45178643552429
PI156268,0.428134794028789
